Species,Tag,Grazer_Wetmass,Grazer_Buoyant,Shell_L,Shell_W,Real_L,Fake_L,Dissected_gonad_wet_weight,Dissected_nongonad_wet_weight,Dissected_sum_wet_tissue_weight,Dissected_nongonad_dry_weight,Dissected_gonad_dry_weight,Dissected_shell_dry_weight,Dissected_tissue_dry_weight,Dissected_total_dry_weight,Length_imageJ,Width_imageJ,Area_imageJ
Teg,18,0.6631,0.2869,NA,NA,9.63,11.96,NA,NA,0.0914,NA,NA,0.5218,0.0234,0.5452,NA,NA,NA
Teg,14,0.5176,0.2576,NA,NA,8.18,11,NA,NA,0.0796,NA,NA,0.4152,0.0186,0.4338,NA,NA,NA
Teg,2,0.2371,0.0908,NA,NA,6.23,8.44,NA,NA,0.0372,NA,NA,0.1809,0.0138,0.1947,NA,NA,NA
Teg,13,0.2265,0.0768,NA,NA,6.48,8.77,NA,NA,0.0558,NA,NA,0.1554,0.0286,0.184,NA,NA,NA
Teg,22,0.1924,0.0781,NA,NA,5.54,8.19,NA,NA,0.0284,NA,NA,0.1455,0.012,0.1575,NA,NA,NA
Teg,20,0.2322,0.0759,NA,NA,6.36,9.18,NA,NA,0.0391,NA,NA,0.1715,0.0122,0.1837,NA,NA,NA
Teg,19,0.4473,0.2,NA,NA,7.78,10.75,NA,NA,0.0606,NA,NA,0.3376,0.0185,0.3561,NA,NA,NA
Teg,23,0.279,0.1074,NA,NA,7.19,9.02,NA,NA,0.0166,NA,NA,0.2139,0.0111,0.225,NA,NA,NA
Teg,1,0.229,0.0989,NA,NA,6.08,8.71,NA,NA,0.0391,NA,NA,0.1621,0.0201,0.1822,NA,NA,NA
Teg,21,0.4134,0.1814,NA,NA,7.78,10.27,NA,NA,0.0546,NA,NA,0.3197,0.0159,0.3356,NA,NA,NA
Teg,15,0.4332,0.188,NA,NA,8.39,10.38,NA,NA,0.0633,NA,NA,0.3157,0.0165,0.3322,NA,NA,NA
