grazer_spp.,box_label,animal_label,diet,shell_length_i,shell_length_w2,shell_length_w3,shell_length_f,imageJ_Li,imageJ_Lf,shell_width_i,imageJ_Wf,imageJ_Ai,imageJ_Af,wetmass_i,wetmass_2,wetmass_3,wetmass_f,wetmass_total_Wd,buoyant_Wi,buoyant_W2,buoyant_W3,buoyant_Wf,righting_time_1,righting_time_2,righting_attempts_final,terminal_wet_tissue_mass,terminal_gonad_wet_mass,terminal_nongonad_wet_mass,terminal_shell_wet_mass,tissue_sampled,terminal_dry_tissue_mass,terminal_gonad_dry_mass,terminal_nongonad_dry_mass,terminal_shell_dry_mass,terminal_total_dry_mass,est_total_dry_mass_i,est_tissue_dry_mass_i,est_non_gonad_dry_mass_i,est_gonad_dry_mass_i,est_shell_dry_mass_i,Water_Temp,treatment,Water_Temp
red abalone,15,neon pink 15,starved,59.12,NA,59.36,59.27,6.124,6.048,40.11,4.267,20.658,20.539,26.8299,24.1462,NA,23.7946,-3.0353,5.46,5.43,NA,5.38,39,36,2,8.3931,3.7047,4.0133,8.4435,0.6751,1.4669,0.5573,0.9096,8.0677,11.0015,10.7279,2.7241,1.8165,0.8756,8.0041,14,1,14
red abalone,16,neon pink 16,mixed,58.48,NA,59.28,59.22,6.064,5.955,38.4,4.169,20.067,19.928,27.1319,28.6321,NA,24.3124,-2.8195,5.472,5.2,NA,5.44,35,18,1,11.0791,4.9987,4.9685,8.4292,1.1119,2.0516,0.8841,1.1675,8.0741,12.1773,10.3691,2.6228,1.7465,0.4781,7.7466,14,3,14
red abalone,17,neon pink 17,sargassum,50.37,NA,50.78,50.83,5.184,5.11,34.45,3.712,14.818,14.998,17.6084,18.6754,NA,18.3185,0.7101,3.597,3.77,NA,3.78,14,60,2,7.7984,3.2602,3.6577,5.7219,0.8805,1.4073,0.571,0.8363,5.4174,8.232,5.8223,1.3391,0.8603,0.6256,4.4837,14,4,14
red abalone,18,neon pink 18,macro,53.38,NA,54.53,54.97,5.524,5.511,36.79,3.997,16.367,17.495,21.6559,26.1664,NA,22.8732,1.2173,4.438,4.86,NA,4.89,22,26,1,10.5162,4.4642,4.6937,7.4364,1.3583,1.9537,0.8005,1.1532,7.1227,11.0301,7.5099,1.8155,1.1892,0.7491,5.6947,14,2,14
red abalone,19,neon pink 19,starved,55.9,NA,55.96,56.1,5.748,5.692,38.12,3.977,18.223,17.931,21.817,23.4055,NA,22.7432,0.9262,4.907,4.9,NA,4.86,10,38,2,8.6965,3.4084,4.5913,7.4569,0.6968,1.6319,0.5826,1.0493,7.115,10.3788,8.9227,2.2144,1.4646,0.5702,6.7086,14,1,14
red abalone,20,neon pink 20,mixed,52.25,NA,53.5,54.02,5.441,5.497,36.82,3.923,16.384,17.289,21.6848,23.4609,NA,22.8979,1.2131,4.08,4.33,NA,4.51,6,28,2,10.458,4.3184,5.1815,6.6012,0.9581,2.1823,0.8725,1.3098,6.3613,10.7259,6.8763,1.6367,1.0657,0.6742,5.2401,14,3,14
red abalone,21,neon pink 21,sargassum,54.37,NA,54.78,54.93,5.547,5.532,36.73,3.932,16.915,17.148,21.2547,23.3848,NA,23.0978,1.8431,4.307,4.33,NA,4.52,14,34,2,9.2118,3.8329,5.3789,6.8121,NA,2.072,0.7356,1.3364,6.532,10.676,8.0649,1.9722,1.2974,0.5247,6.093,14,4,14
red abalone,22,neon pink 22,macro,51.32,NA,52.05,52.49,5.226,5.303,34.82,3.749,14.775,15.763,17.7438,18.4063,NA,19.6431,1.8993,3.425,3.77,NA,3.84,95,20,1,9.4752,3.956,5.5192,5.6578,NA,2.2132,0.8006,1.4126,5.4206,9.847,6.3549,1.4894,0.9641,0.7643,4.8659,14,2,14
red abalone,23,neon pink 23,starved,56.21,NA,56.46,56.43,5.766,5.689,38.63,4.002,18.407,18.054,23.9223,23.2092,NA,20.9305,-2.9918,4.719,4.82,NA,4.76,7,76,4,7.3686,3.1984,4.1702,7.3539,NA,1.4742,0.4857,0.9885,7.0428,9.9912,9.0965,2.2635,1.4985,0.8045,6.8333,14,1,14
red abalone,24,neon pink 24,mixed,57.03,NA,57.38,57.7,5.835,5.817,39.82,4.284,19.143,19.457,23.5358,23.3071,NA,22.7375,-0.7983,4.424,4.74,NA,4.81,11,45,1,12.3445,4.3838,7.9607,7.0759,NA,2.6361,0.886,1.7501,6.7953,12.0675,9.5562,2.3933,1.5881,0.3673,7.1633,14,3,14
red abalone,25,neon pink 25,sargassum,48.11,NA,49.42,50.02,4.932,5.057,32.86,3.593,13.351,14.337,15.636,16.3375,NA,16.2841,0.6481,2.839,3,NA,3.07,7,21,1,8.4252,3.3202,5.105,4.5838,NA,1.6598,0.5979,1.0619,4.3895,7.7091,4.5553,0.9813,0.6133,0.6619,3.5744,14,4,14
red abalone,26,neon pink 26,macro,54.12,NA,55.18,55.63,5.641,5.697,36.81,4.023,17.064,18.054,21.5894,24.7386,NA,22.3641,0.7747,3.87,4.18,NA,4.22,11,16,1,11.6353,4.4299,7.2054,6.2826,NA,2.7212,0.973,1.7482,5.9257,11.3681,7.9247,1.9327,1.2701,0.8236,5.9924,14,2,14
red abalone,27,neon pink 27,starved,57.42,NA,58.17,58.11,5.967,5.854,38.47,4.045,19.296,18.927,23.3436,23.7491,NA,21.2968,-2.0468,4.6,4.56,NA,4.51,102,79,4,7.99,3.0928,4.8972,6.8718,NA,1.5497,0.4435,1.1062,6.6141,9.7135,9.7748,2.455,1.6307,0.6879,7.3202,14,1,14
red abalone,28,neon pink 28,mixed,54.65,NA,55.14,55.46,5.572,5.638,35.4,3.91,16.742,17.333,19.6012,21.6768,NA,23.6883,4.0871,4.245,4.45,NA,4.53,18,25,NA,11.2367,4.2811,6.9556,6.9814,NA,2.1439,0.8186,1.3253,6.5609,10.8487,8.2219,2.0165,1.328,0.7746,6.2057,14,3,14
red abalone,29,neon pink 29,sargassum,56.42,NA,56.92,57.18,5.776,5.758,38.24,4.092,18.491,18.742,23.7371,26.064,NA,28.7531,5.016,5.33,5.57,NA,5.66,10,37,2,11.7917,5.0119,6.7798,8.5755,NA,2.4669,0.9535,1.5134,8.2125,13.1463,9.2142,2.2967,1.5214,1.1177,6.9178,14,4,14
red abalone,30,neon pink 30,macro,63.42,NA,63.9,63.94,6.576,6.447,43.87,4.623,23.908,23.788,37.7935,35.5168,NA,38.1395,0.346,6.89,7.29,NA,7.44,11,27,1,15.9467,5.7434,10.2033,10.7098,NA,3.9795,1.1991,2.7804,10.3813,18.3403,13.1387,3.4048,2.2864,0.4423,9.7342,14,2,14
red abalone,31,neon pink 31,starved,49.64,NA,49.86,49.84,5.088,5.028,34.69,3.624,14.446,14.478,15.5653,15.7616,NA,13.0548,-2.5105,3.27,3.29,NA,3.36,46,240,4,5.6766,2.3144,3.3622,5.2892,NA,1.0725,0.3122,0.7603,4.9399,7.0849,5.4131,1.2235,0.7805,0.4707,4.19,14,1,14
red abalone,32,neon pink 32,mixed,50.22,NA,51.21,51.88,5.228,5.241,34.26,3.781,14.834,15.637,18.9138,19.8202,NA,19.421,0.5072,3.43,3.64,NA,3.79,9,34,1,10.5747,3.8067,6.768,5.5935,NA,2.1543,0.7507,1.4036,5.285,9.5936,5.7382,1.3153,0.8439,0.4663,4.4233,14,3,14
red abalone,33,neon pink 33,sargassum,50.13,NA,52.1,52.53,5.184,5.267,33.27,3.667,14.24,15.503,14.478,18.5672,NA,18.2879,3.8099,2.72,3.49,NA,3.53,6,13,1,7.5462,3.2903,4.2559,5.452,NA,1.6107,0.6498,0.9609,5.0604,8.2818,5.6878,1.3011,0.834,0.7339,4.3871,14,4,14
red abalone,34,neon pink 34,macro,55.59,NA,58.18,58.67,5.997,5.998,39.95,4.215,19.537,20.144,25.628,25.3205,NA,27.9027,2.2747,5.26,5.46,NA,5.52,9,46,2,12.4194,4.6502,7.7692,8.3081,NA,2.9605,0.9664,1.9941,7.7988,13.7198,8.7489,2.1653,1.4307,0.5202,6.5839,14,2,14
red abalone,35,neon pink 35,starved,51.23,NA,51.42,51.43,5.235,5.196,33.83,3.518,14.537,14.515,18.653,18.3489,NA,18.137,-0.516,3.54,3.67,NA,3.61,8,11,1,6.3296,2.4133,3.9163,5.5149,NA,1.4433,0.4904,0.9529,5.2453,8.1319,6.3045,1.4752,0.9542,0.6761,4.8297,14,1,14
red abalone,36,neon pink 36,mixed,54.41,NA,55.24,55.63,5.601,5.705,36.86,4.079,17.329,18.451,21.9916,25.078,NA,24.2495,2.2579,3.98,4.62,NA,4.77,12,25,1,11.728,4.335,7.393,7.0203,NA,2.6344,0.9221,1.7123,6.6968,11.9656,8.0873,1.9786,1.3018,0.7354,6.1091,14,3,14
red abalone,37,neon pink 37,sargassum,55.62,NA,56.46,56.8,5.748,5.799,41.04,4.252,19.55,19.964,23.5128,25.5466,NA,23.385,-0.1278,4.96,5.29,NA,5.27,10,24,1,9.781,4.0851,5.6959,8.003,NA,2.1825,0.7459,1.4366,7.6553,12.0203,8.7657,2.1701,1.434,0.5046,6.596,14,4,14
red abalone,38,neon pink 38,macro,50.91,NA,51.43,51.16,5.241,5.207,38.34,4.041,16.053,16.121,16.876,17.4649,NA,18.4656,1.5896,3.51,3.54,NA,3.56,15,30,NA,7.8921,3.1182,4.7739,5.3638,NA,1.6632,0.5168,1.1464,5.02,8.3464,6.1251,1.4245,0.9193,0.7487,4.7009,14,2,14
red abalone,39,neon pink 39,starved,55.89,NA,56.18,56.01,5.674,5.657,38.13,3.973,17.78,17.736,26.3703,25.4945,NA,21.9932,-4.3771,5.01,5,NA,4.95,21,20,1,8.2038,3.2216,4.9822,7.692,NA,1.8026,0.5949,1.2077,7.274,10.8792,8.9171,2.2128,1.4635,0.9952,6.7046,14,1,14
red abalone,40,neon pink 40,mixed,60.92,NA,61.66,62.02,6.285,6.253,40.97,4.4,21.502,21.878,30.3526,34.9836,NA,36.1412,5.7886,6.53,6.97,NA,7.05,16,35,NA,14.6631,5.9571,8.706,10.461,NA,3.5167,1.1914,2.3253,10.1349,17.1683,11.7371,3.009,2.0132,0.5869,8.7284,14,3,14
red abalone,41,neon pink 41,sargassum,52.59,NA,53.2,53.26,5.511,5.439,34.61,3.636,15.997,15.967,18.9588,20.7805,NA,18.3057,-0.6531,3.85,3.99,NA,3.97,25,10,1,9.1345,3.8385,5.296,6.0827,NA,1.7312,0.6648,1.0664,5.7622,9.2246,7.0669,1.6905,1.1029,0.5859,5.3769,14,4,14
red abalone,42,neon pink 42,macro,52.57,NA,53.01,53.4,5.333,5.374,34.27,3.793,15.297,16.099,19.2957,21.7564,NA,22.1331,2.8374,4.04,4.12,NA,4.38,26,38,NA,9.5064,3.7273,5.7791,6.5826,NA,2.2368,0.775,1.4618,6.1638,10.6374,7.0557,1.6873,1.1007,0.5673,5.3688,14,2,14
red abalone,43,neon pink 43,starved,52.19,NA,52.6,52.58,5.389,5.286,34.64,3.617,15.7,15.345,21.1806,20.3684,NA,19.8879,-1.2927,4.07,4.04,NA,4.05,10,42,2,7.2764,3.0876,4.1888,6.4134,NA,1.5079,0.5339,0.974,5.9647,8.9805,6.8427,1.6272,1.0592,0.8888,5.2159,14,1,14
red abalone,44,neon pink 44,mixed,58.75,NA,59.18,59.7,6.02,6.089,38.61,4.188,19.272,20.167,29.9514,27.4174,NA,30.8725,0.9211,5.46,5.95,NA,6.05,16,21,1,12.89,4.6797,8.2103,8.8915,NA,3.1387,1.0392,2.0995,8.5382,14.8156,10.5205,2.6655,1.776,0.5369,7.8553,14,3,14
red abalone,45,neon pink 45,sargassum,51.57,NA,52.18,52.63,5.3,5.277,36.42,3.834,15.627,16.043,20.4873,22.7747,NA,21.0697,0.5824,3.81,4.07,NA,3.98,15,53,3,8.877,3.5781,5.2989,6.3948,NA,2.1576,0.7802,1.3774,5.9988,10.314,6.4951,1.529,0.9914,0.7663,4.9665,14,4,14
red abalone,46,neon pink 46,macro,56.25,NA,56.96,57.44,5.816,5.797,37.33,4.091,17.897,18.667,27.141,28.1636,NA,30.0848,2.9438,4.66,5.11,NA,5.22,10,13,1,12.6059,4.7839,7.822,7.7508,NA,3.1644,1.0601,2.1043,7.3014,13.6302,9.1189,2.2698,1.5028,0.7384,6.8494,14,2,14
red abalone,47,neon pink 47,starved,55.68,NA,55.71,55.74,5.708,5.606,38.29,4.018,18.399,17.913,24.142,28.2838,NA,26.0331,1.8911,5.66,5.73,NA,5.69,12,53,3,9.7421,3.6193,6.1228,8.8685,NA,2.0318,0.6349,1.3969,8.3866,12.4502,8.7993,2.1796,1.4405,0.7732,6.6201,14,1,14
red abalone,48,neon pink 48,mixed,56.39,NA,57.05,57.27,5.795,5.819,39.37,4.268,18.856,19.617,23.9741,23.8734,NA,26.2665,2.2924,4.47,5.07,NA,5.21,8,36,2,11.6113,4.4568,7.1545,7.7393,NA,2.9694,1.0114,1.958,7.3022,13.241,9.1974,2.292,1.5181,0.6663,6.9058,14,3,14
red abalone,49,neon pink 49,sargassum,54.21,NA,54.22,54.42,5.637,5.466,37,3.822,16.785,16.622,23.0485,23.3214,NA,22.0935,-0.955,4.44,4.35,NA,4.55,24,23,1,9.3217,3.8657,5.456,6.8507,NA,1.9519,0.6964,1.2555,6.5942,10.498,7.9752,1.9469,1.2799,0.953,6.0287,14,4,14
red abalone,50,neon pink 50,macro,60.06,NA,60.6,60.94,6.18,6.185,41.63,4.406,21.259,21.619,30.4989,31.1112,NA,31.0808,0.5819,6.09,6.38,NA,6.51,32,32,2,14.2101,4.8412,9.3689,9.6132,NA,3.5595,1.0877,2.4718,9.1489,16.2679,11.2549,2.8729,1.9192,0.5207,8.3823,14,2,14
red abalone,51,neon pink 51,starved,51.24,NA,51.39,51.39,5.213,5.184,34,3.591,14.995,14.877,18.2367,16.5704,NA,16.1208,-2.1159,3.41,3.37,NA,3.54,10,62,2,6.1315,2.3598,3.7717,5.6952,NA,1.2898,0.4065,0.8833,5.4043,7.9839,6.3101,1.4768,0.9553,0.5482,4.8337,14,1,14
red abalone,52,neon pink 52,mixed,51.8,NA,52.15,52.23,5.34,5.29,36.33,3.713,15.632,15.448,18.3707,18.1782,NA,17.0925,-1.2782,3.63,3.63,NA,3.75,20,37,1,9.1831,3.6353,5.5478,5.7347,NA,1.6889,0.6306,1.0583,5.3683,8.7461,6.624,1.5654,1.0165,0.4972,5.059,14,3,14
red abalone,53,neon pink 53,sargassum,50.76,NA,51.3,52.1,5.19,5.21,34.02,3.658,14.645,15.292,18.4116,19.3415,NA,19.1033,0.6917,3.63,3.59,NA,3.76,33,37,2,8.6874,3.2208,5.4666,5.6708,NA,1.7337,0.614,1.1197,5.4156,8.883,6.041,1.4008,0.9029,0.7908,4.6406,14,4,14
red abalone,54,neon pink 54,macro,56.75,NA,56.74,57.2,5.801,5.797,37.98,4.131,18.236,19.06,27.4747,27.1146,NA,29.6407,2.166,5.06,5.32,NA,5.37,20,23,1,12.3869,5.2898,7.0971,8.0039,NA,2.8394,0.9748,1.8646,7.646,13.3248,9.3992,2.349,1.5575,0.6237,7.0506,14,2,14
red abalone,55,neon pink 55,starved,53.34,NA,53.73,53.62,5.409,5.391,36.33,3.875,16.409,16.193,18.9318,19.4254,NA,17.9763,-0.9555,3.93,3.94,NA,3.9,14,22,1,6.6494,2.8614,3.788,6.0193,NA,1.4201,0.5041,0.916,5.7306,8.5708,7.4874,1.8092,1.1848,0.6854,5.6786,14,1,14
red abalone,56,neon pink 56,mixed,54.6,NA,55.1,55.77,5.607,5.672,36.56,4.003,16.689,17.793,23.2481,26.9645,NA,25.6309,2.3828,4.68,4.98,NA,5.18,17,20,NA,10.3864,3.9718,6.4146,7.6768,NA,2.4979,0.8302,1.6677,7.3194,12.3152,8.1938,2.0086,1.3225,0.7937,6.1856,14,3,14
red abalone,57,neon pink 57,sargassum,56.81,NA,57.42,57.56,5.722,5.806,36.81,3.978,17.256,18.304,24.458,29.0398,NA,26.0114,1.5534,5.04,5.04,NA,5.18,40,46,4,12.3189,4.6822,7.6367,7.7403,NA,2.5985,0.9413,1.6572,7.413,12.61,9.4328,2.3585,1.564,0.5541,7.0747,14,4,14
red abalone,58,neon pink 58,macro,51.92,NA,52.49,52.58,5.31,5.31,35.59,3.826,15.735,15.966,17.1779,17.7515,NA,17.5471,0.3692,3.57,3.73,NA,3.67,16,54,3,8.0467,3.0536,4.9931,5.6211,NA,1.79,0.6298,1.1602,5.2816,8.8616,6.6913,1.5844,1.0296,0.68,5.1073,14,2,14
red abalone,59,neon pink 59,starved,54.49,NA,54.6,54.57,5.61,5.485,38.96,4.078,17.926,17.557,22.023,21.7289,NA,18.5984,-3.4246,4.4,4.44,NA,4.42,9,27,2,7.354,3.009,4.345,6.9366,NA,1.4183,0.4164,1.0019,6.5371,9.3737,8.1322,1.9912,1.3105,0.8722,6.1413,14,1,14
red abalone,60,neon pink 60,mixed,58.41,NA,58.95,59.69,6.096,6.106,41.5,4.312,20.713,20.905,25.4404,27.5776,NA,28.0244,2.584,5.25,5.58,NA,5.58,52,21,1,12.4905,4.7432,7.7473,8.2174,NA,2.9866,0.9541,2.0325,7.9687,13.9419,10.3299,2.6117,1.7389,0.8134,7.7185,14,3,14
red abalone,61,neon pink 61,sargassum,57.21,NA,57.89,58.49,5.849,5.922,39.59,4.309,19.269,20.444,25.8811,28.581,NA,30.503,4.6219,5.04,5.48,NA,5.54,6,37,1,12.7788,4.9514,7.8274,8.4967,NA,2.5675,0.9391,1.6284,8.0423,13.1773,9.6571,2.4218,1.6077,1.0619,7.2357,14,4,14
red abalone,62,neon pink 62,macro,62.28,NA,62.89,62.93,6.472,6.357,42.28,4.403,22.368,21.961,29.4862,31.4414,NA,33.219,3.7328,5.17,6.26,NA,6.29,12,11,1,13.8685,5.2665,8.602,9.3458,NA,3.3707,1.1174,2.2533,8.9648,15.7062,12.4995,3.2243,2.1618,0.6928,9.2755,14,2,14
red abalone,63,neon pink 63,starved,54.75,NA,54.9,54.8,NA,5.57,38.83,4.049,NA,17.498,20.3674,20.3107,NA,18.484,-1.8834,4.13,4.14,NA,4.08,7,16,1,7.2739,2.9265,4.3474,6.2569,NA,1.5869,0.4983,1.0886,5.9755,9.1493,8.2779,2.0324,1.3389,0.6761,6.2459,14,1,14
red abalone,64,neon pink 64,mixed,54.41,NA,55.15,55.86,5.595,5.715,38.36,4.15,17.454,18.555,18.8695,24.5665,NA,21.6669,2.7974,4.97,5.29,NA,5.32,11,118,2,10.3079,3.8372,6.4707,8.1778,NA,2.2645,0.8436,1.4209,7.7982,12.3272,8.0873,1.9786,1.3018,0.9874,6.1091,14,3,14
red abalone,65,neon pink 65,sargassum,60.76,NA,61.18,61.17,6.302,6.22,43.33,4.548,22.397,22.047,27.813,33.7917,NA,27.6148,-0.1982,5.88,6.12,NA,5.57,15,15,1,13.4506,5.3449,8.1057,9.2519,NA,2.9243,1.022,1.9023,8.7876,14.6362,11.6474,2.9837,1.9957,0.634,8.664,14,4,14
red abalone,66,neon pink 66,macro,53.55,NA,54.94,55.75,5.518,5.649,36.41,3.964,16.721,18.177,21.6926,23.506,NA,23.3176,1.625,4.91,5.32,NA,5.47,7,16,1,10.3603,4.1383,6.222,8.1043,NA,2.5393,0.8804,1.6589,7.8106,12.8892,7.6052,1.8424,1.2078,0.5212,5.7631,14,2,14
red abalone,67,neon pink 67,starved,51.25,NA,51.49,51.51,5.27,5.138,34.63,3.595,15.231,14.909,NA,18.5205,NA,17.479,NA,NA,3.65,NA,3.58,11,23,1,6.3736,2.816,3.5576,5.6197,NA,1.2834,0.4042,0.8792,5.3698,7.9366,6.3157,1.4784,0.9564,0.4732,4.8377,14,1,14
red abalone,68,neon pink 68,mixed,50.27,NA,50.62,50.86,5.147,5.22,33.56,3.671,14.453,15.201,19.5081,18.2554,NA,20.4861,0.978,3.63,3.93,NA,3.97,12,10,1,8.7068,3.9073,4.7995,6.0424,NA,1.9564,0.8018,1.1546,5.7242,9.637,5.7663,1.3232,0.8493,0.9976,4.4434,14,3,14
red abalone,69,neon pink 69,sargassum,60.97,NA,61.58,61.96,6.242,6.295,44.08,4.572,21.912,22.907,33.3548,32.8824,NA,34.2064,0.8516,5.88,6.31,NA,6.38,16,45,2,12.7207,4.9651,7.7556,9.6537,NA,2.9363,0.99,1.9463,9.2139,15.0865,11.7651,3.0169,2.0186,1.2354,8.7485,14,4,14
red abalone,70,neon pink 70,macro,65.82,NA,66.86,67.4,6.797,6.877,45.41,4.859,25.299,26.4,38.2594,43.9231,NA,43.7788,5.5194,7.51,7.97,NA,7.67,30,62,NA,18.9904,7.1918,11.7986,11.742,NA,4.7061,1.5548,3.1513,11.2767,20.6889,14.4842,3.7846,2.5486,0.9133,10.6998,14,2,14
red abalone,71,neon pink 71,starved,59.25,NA,59.25,59.25,6.078,5.992,41.44,4.335,20.679,20.228,28.5608,26.9264,NA,26.9258,-1.635,5.49,5.44,NA,5.41,16,26,1,10.1993,4.0514,6.1479,8.2326,NA,2.0613,0.5834,1.4779,7.9258,12.0484,10.8008,2.7447,1.8307,0.7668,8.0564,14,1,14
red abalone,72,neon pink 72,mixed,56.26,NA,56.66,57.65,5.772,5.816,37.55,4.124,18.126,18.797,23.806,27.2054,NA,26.5955,2.7895,5,5.3,NA,5.47,9,12,1,13.3483,5.303,8.0453,8.343,NA,2.9474,1.0523,1.8951,7.9006,13.7954,9.1245,2.2714,1.5039,0.7928,6.8534,14,3,14
red abalone,73,neon pink 73,sargassum,56.79,NA,59.38,59.69,5.989,6.036,40.18,4.304,20.115,20.729,27.7284,27.3525,NA,27.2939,-0.4345,4.79,5.6,NA,5.32,21,30,1,12.9763,5.0427,7.9336,8.5031,NA,2.9707,0.9899,1.9808,8.1561,14.0975,9.4216,2.3553,1.5618,0.9109,7.0667,14,4,14
