Line_No.,Start_Date,Start_Time,End_Date,End_Time,Rep_No.,Treatment,Wrack_treatment,Algae_Spp.,Algae_trt,Algae_Wi,Algae_Wf,Algae_ CF_Cf/Ci,Algae_Wd,Total_Benthic_Algae_Consumed,Total_Wrack_Algae_Consumed,Total_Algae_Consumed ,Water_Temp,Air_Temp,Flow_Rate,Teg_Biomass,Hermit_Biomass,Pachy_Biomass
49,9/11/19,19:43,9/12/19,14:00,5,Exp,Native,Macro,Wrack,11.1338,9.384,NA,2.0412,3.99,2.0412,6.0312,24,24.5,0.0307,24.0013,13.0732,6.5843
50,9/11/19,19:43,9/12/19,14:00,5,Exp,Native,Centroceras,Centroceras,11.744,11.4528,NA,0.6009,NA,NA,NA,24,24.5,0.0307,,,
51,9/11/19,19:43,9/12/19,14:00,5,Exp,Native,Silvetia,Silvetia,11.1995,8.7749,NA,2.7903,NA,NA,NA,24,24.5,0.0307,,,
52,9/11/19,19:43,9/12/19,14:00,5,Exp,Native,Ulva,Ulva,9.252,8.9341,NA,0.5988,NA,NA,NA,24,24.5,0.0307,,,
53,9/11/19,19:43,9/12/19,14:00,5,Exp,Invasive,Sargassum,Wrack,11.5657,10.682,NA,1.4558,4.955,1.4558,6.4108,24,24.5,0.0307,22.8879,15.7905,3.2315
54,9/11/19,19:43,9/12/19,14:00,5,Exp,Invasive,Centroceras,Centroceras,12.4634,11.75,NA,1.2149,NA,NA,NA,24,24.5,0.0307,,,
55,9/11/19,19:43,9/12/19,14:00,5,Exp,Invasive,Silvetia,Silvetia,11.4762,7.959,NA,3.4646,NA,NA,NA,24,24.5,0.0307,,,
56,9/11/19,19:43,9/12/19,14:00,5,Exp,Invasive,Ulva,Ulva,12.2216,11.971,NA,0.2755,NA,NA,NA,24,24.5,0.0307,,,
57,9/11/19,19:43,9/12/19,14:00,MC5.6M,Cont,Native,Macro,Wrack,11.5825,11.8856,1.026168789,NA,NA,NA,NA,24,24.5,0.0307,,,
58,9/11/19,19:43,9/12/19,14:00,MC5.6C,Cont,Native,Centroceras,Centroceras,14.6941,15.0816,1.026371129,NA,NA,NA,NA,24,24.5,0.0307,,,
59,9/11/19,19:43,9/12/19,14:00,MC5.6S,Cont,Native,Silvetia,Silvetia,11.1817,11.5468,1.032651565,NA,NA,NA,NA,24,24.5,0.0307,,,
60,9/11/19,19:43,9/12/19,14:00,MC5.6U,Cont,Native,Ulva,Ulva,11.0138,11.3482,1.03036191,NA,NA,NA,NA,24,24.5,0.0307,,,
61,9/11/19,19:43,9/12/19,14:00,SC5.6SA,Cont,Invasive,Sargassum,Wrack,11.6157,12.1903,1.049467531,NA,NA,NA,NA,24,24.5,0.0307,,,
62,9/11/19,19:43,9/12/19,14:00,SC5.6C,Cont,Invasive,Centroceras,Centroceras,11.6454,12.114,1.040239064,NA,NA,NA,NA,24,24.5,0.0307,,,
63,9/11/19,19:43,9/12/19,14:00,SC5.6S,Cont,Invasive,Silvetia,Silvetia,10.862,10.8122,0.995415209,NA,NA,NA,NA,24,24.5,0.0307,,,
64,9/11/19,19:43,9/12/19,14:00,SC5.6U,Cont,Invasive,Ulva,Ulva,10.9881,11.0105,1.002038569,NA,NA,NA,NA,24,24.5,0.0307,,,
65,9/11/19,19:43,9/12/19,14:00,6,Exp,Native,Macro,Wrack,10.2794,8.0858,NA,2.4626,2.1109,2.4626,4.5735,24,24.5,0.0307,25.4381,15.47,5.4605
66,9/11/19,19:43,9/12/19,14:00,6,Exp,Native,Centroceras,Centroceras,12.5637,12.7062,NA,0.1888,NA,NA,NA,24,24.5,0.0307,,,
67,9/11/19,19:43,9/12/19,14:00,6,Exp,Native,Silvetia,Silvetia,13.0012,11.688,NA,1.7377,NA,NA,NA,24,24.5,0.0307,,,
68,9/11/19,19:43,9/12/19,14:00,6,Exp,Native,Ulva,Ulva,11.66,11.8296,NA,0.1844,NA,NA,NA,24,24.5,0.0307,,,
69,9/11/19,19:43,9/12/19,14:00,6,Exp,Invasive,Sargassum,Wrack,12.1141,11.968,NA,0.7454,4.0677,0.7454,4.8131,24,24.5,0.0307,22.8377,12.1664,3.8126
70,9/11/19,19:43,9/12/19,14:00,6,Exp,Invasive,Centroceras,Centroceras,11.7609,11.502,NA,0.7321,NA,NA,NA,24,24.5,0.0307,,,
71,9/11/19,19:43,9/12/19,14:00,6,Exp,Invasive,Silvetia,Silvetia,10.0115,6.684,NA,3.2816,NA,NA,NA,24,24.5,0.0307,,,
72,9/11/19,19:43,9/12/19,14:00,6,Exp,Invasive,Ulva,Ulva,11.9147,11.885,NA,0.054,NA,NA,NA,24,24.5,0.0307,,,
73,9/11/19,19:43,9/13/19,0:01,7,Exp,Native,Macro,Wrack,12.669,8.7177,NA,4.3396,4.5376,4.3396,8.8772,24,24.5,0.0307,23.2045,14.9511,2.4518
74,9/11/19,19:43,9/13/19,0:01,7,Exp,Native,Centroceras,Centroceras,13.9605,13.0986,NA,1.4116,NA,NA,NA,24,24.5,0.0307,,,
75,9/11/19,19:43,9/13/19,0:01,7,Exp,Native,Silvetia,Silvetia,13.0718,10.4167,NA,2.5799,NA,NA,NA,24,24.5,0.0307,,,
76,9/11/19,19:43,9/13/19,0:01,7,Exp,Native,Ulva,Ulva,11.641,11.649,NA,0.5461,NA,NA,NA,24,24.5,0.0307,,,
77,9/11/19,19:43,9/13/19,0:01,7,Exp,Invasive,Sargassum,Wrack,13.2304,12.8241,NA,0.6107,8.8793,0.6107,9.49,24,24.5,0.0307,26.4403,14.7615,1.9219
78,9/11/19,19:43,9/13/19,0:01,7,Exp,Invasive,Centroceras,Centroceras,13.2752,11.7593,NA,1.8839,NA,NA,NA,24,24.5,0.0307,,,
79,9/11/19,19:43,9/13/19,0:01,7,Exp,Invasive,Silvetia,Silvetia,11.5491,6.0335,NA,6.2519,NA,NA,NA,24,24.5,0.0307,,,
80,9/11/19,19:43,9/13/19,0:01,7,Exp,Invasive,Ulva,Ulva,10.4797,10.0712,NA,0.7435,NA,NA,NA,24,24.5,0.0307,,,
81,9/11/19,19:43,9/13/19,0:01,MC7.8M,Cont,Native,Macro,Wrack,12.3638,12.7427,1.030645918,NA,NA,NA,NA,24,24.5,0.0307,,,
82,9/11/19,19:43,9/13/19,0:01,MC7.8C,Cont,Native,Centroceras,Centroceras,12.7651,13.2677,1.039372978,NA,NA,NA,NA,24,24.5,0.0307,,,
83,9/11/19,19:43,9/13/19,0:01,MC7.8S,Cont,Native,Silvetia,Silvetia,12.0833,12.0138,0.99424826,NA,NA,NA,NA,24,24.5,0.0307,,,
84,9/11/19,19:43,9/13/19,0:01,MC7.8U,Cont,Native,Ulva,Ulva,10.6352,11.1414,1.04759666,NA,NA,NA,NA,24,24.5,0.0307,,,
85,9/11/19,19:43,9/13/19,0:01,SC7.8SA,Cont,Invasive,Sargassum,Wrack,14.8898,15.1198,1.015446816,NA,NA,NA,NA,24,24.5,0.0307,,,
86,9/11/19,19:43,9/13/19,0:01,SC7.8C,Cont,Invasive,Centroceras,Centroceras,10.9605,11.2643,1.027717714,NA,NA,NA,NA,24,24.5,0.0307,,,
87,9/11/19,19:43,9/13/19,0:01,SC7.8S,Cont,Invasive,Silvetia,Silvetia,11.1057,11.8137,1.063751047,NA,NA,NA,NA,24,24.5,0.0307,,,
88,9/11/19,19:43,9/13/19,0:01,SC7.8U,Cont,Invasive,Ulva,Ulva,12.3645,12.7598,1.031970561,NA,NA,NA,NA,24,24.5,0.0307,,,
89,9/11/19,19:43,9/13/19,0:01,8,Exp,Native,Macro,Wrack,12.1395,9.7719,NA,2.7396,7.0511,2.7396,9.7907,24,24.5,0.0307,22.1144,13.6065,3.6345
90,9/11/19,19:43,9/13/19,0:01,8,Exp,Native,Centroceras,Centroceras,13.6075,13.1169,NA,1.0264,NA,NA,NA,24,24.5,0.0307,,,
91,9/11/19,19:43,9/13/19,0:01,8,Exp,Native,Silvetia,Silvetia,11.4575,6.8904,NA,4.5012,NA,NA,NA,24,24.5,0.0307,,,
92,9/11/19,19:43,9/13/19,0:01,8,Exp,Native,Ulva,Ulva,12.1738,11.2297,NA,1.5235,NA,NA,NA,24,24.5,0.0307,,,
93,9/11/19,19:43,9/13/19,0:01,8,Exp,Invasive,Sargassum,Wrack,12.5257,11.8005,NA,0.9187,6.502,0.9187,7.4207,24,24.5,0.0307,24.7181,15.2351,2.4268
94,9/11/19,19:43,9/13/19,0:01,8,Exp,Invasive,Centroceras,Centroceras,11.9311,11.4202,NA,0.8416,NA,NA,NA,24,24.5,0.0307,,,
95,9/11/19,19:43,9/13/19,0:01,8,Exp,Invasive,Silvetia,Silvetia,11.716,7.1922,NA,5.2707,NA,NA,NA,24,24.5,0.0307,,,
96,9/11/19,19:43,9/13/19,0:01,8,Exp,Invasive,Ulva,Ulva,11.3921,11.3666,NA,0.3897,NA,NA,NA,24,24.5,0.0307,,,
97,9/11/19,19:43,9/13/19,0:10,9,Exp,Native,Macro,Wrack,12.4837,10.3416,NA,2.8995,2.6402,2.8995,5.5397,24,24.5,0.0307,26.2309,15.4912,4.6357
98,9/11/19,19:43,9/13/19,0:10,9,Exp,Native,Centroceras,Centroceras,9.8077,9.9593,NA,0.0946,NA,NA,NA,24,24.5,0.0307,,,
99,9/11/19,19:43,9/13/19,0:10,9,Exp,Native,Silvetia,Silvetia,12.6218,10.7736,NA,1.6916,NA,NA,NA,24,24.5,0.0307,,,
100,9/11/19,19:43,9/13/19,0:10,9,Exp,Native,Ulva,Ulva,10.3565,9.8421,NA,0.854,NA,NA,NA,24,24.5,0.0307,,,
101,9/11/19,19:43,9/13/19,0:10,9,Exp,Invasive,Sargassum,Wrack,14.9216,15.1437,NA,0.1319,4.7849,0.1319,4.9168,24,24.5,0.0307,24.0683,13.0045,7.5848
102,9/11/19,19:43,9/13/19,0:10,9,Exp,Invasive,Centroceras,Centroceras,10.9227,10.234,NA,0.8704,NA,NA,NA,24,24.5,0.0307,,,
103,9/11/19,19:43,9/13/19,0:10,9,Exp,Invasive,Silvetia,Silvetia,12.8213,8.986,NA,3.6898,NA,NA,NA,24,24.5,0.0307,,,
104,9/11/19,19:43,9/13/19,0:10,9,Exp,Invasive,Ulva,Ulva,10.7496,10.9187,NA,0.2247,NA,NA,NA,24,24.5,0.0307,,,
105,9/11/19,19:43,9/13/19,0:10,MC9.10M,Cont,Native,Macro,Wrack,10.2862,10.9103,1.060673524,NA,NA,NA,NA,24,24.5,0.0307,,,
106,9/11/19,19:43,9/13/19,0:10,MC9.10C,Cont,Native,Centroceras,Centroceras,9.9768,10.2272,1.025098228,NA,NA,NA,NA,24,24.5,0.0307,,,
107,9/11/19,19:43,9/13/19,0:10,MC9.10S,Cont,Native,Silvetia,Silvetia,11.9921,11.8433,0.987591831,NA,NA,NA,NA,24,24.5,0.0307,,,
108,9/11/19,19:43,9/13/19,0:10,MC9.10U,Cont,Native,Ulva,Ulva,12.1212,12.5187,1.032793783,NA,NA,NA,NA,24,24.5,0.0307,,,
109,9/11/19,19:43,9/13/19,0:10,SC9.10SA,Cont,Invasive,Sargassum,Wrack,12.3886,12.6825,1.023723423,NA,NA,NA,NA,24,24.5,0.0307,,,
110,9/11/19,19:43,9/13/19,0:10,SC9.10C,Cont,Invasive,Centroceras,Centroceras,11.2996,11.4876,1.016637757,NA,NA,NA,NA,24,24.5,0.0307,,,
111,9/11/19,19:43,9/13/19,0:10,SC9.10S,Cont,Invasive,Silvetia,Silvetia,9.6842,9.5743,0.988651618,NA,NA,NA,NA,24,24.5,0.0307,,,
112,9/11/19,19:43,9/13/19,0:10,SC9.10U,Cont,Invasive,Ulva,Ulva,10.1495,10.5213,1.036632346,NA,NA,NA,NA,24,24.5,0.0307,,,
113,9/11/19,19:43,9/13/19,0:10,10,Exp,Native,Macro,Wrack,10.5484,8.6601,NA,2.5283,3.0328,2.5283,5.5611,24,24.5,0.0307,25.9532,14.4315,6.2632
114,9/11/19,19:43,9/13/19,0:10,10,Exp,Native,Centroceras,Centroceras,10.6816,10.7742,NA,0.1755,NA,NA,NA,24,24.5,0.0307,,,
115,9/11/19,19:43,9/13/19,0:10,10,Exp,Native,Silvetia,Silvetia,12.0354,9.3101,NA,2.576,NA,NA,NA,24,24.5,0.0307,,,
116,9/11/19,19:43,9/13/19,0:10,10,Exp,Native,Ulva,Ulva,10.611,10.6777,NA,0.2813,NA,NA,NA,24,24.5,0.0307,,,
117,9/11/19,19:43,9/13/19,0:10,10,Exp,Invasive,Sargassum,Wrack,13.607,13.5561,NA,0.3737,5.6054,0.3737,5.9791,24,24.5,0.0307,25.1833,14.5923,6.7501
118,9/11/19,19:43,9/13/19,0:10,10,Exp,Invasive,Centroceras,Centroceras,12.4654,12.0038,NA,0.669,NA,NA,NA,24,24.5,0.0307,,,
119,9/11/19,19:43,9/13/19,0:10,10,Exp,Invasive,Silvetia,Silvetia,12.8693,8.1594,NA,4.5639,NA,NA,NA,24,24.5,0.0307,,,
120,9/11/19,19:43,9/13/19,0:10,10,Exp,Invasive,Ulva,Ulva,10.5322,10.5455,NA,0.3725,NA,NA,NA,24,24.5,0.0307,,,
121,9/11/19,19:43,9/12/19,14:00,11,Exp,Native,Macro,Wrack,9.7868,8.9144,NA,1.0887,3.4945,1.0887,4.5832,24,24.5,0.0307,16.7263,18.054,4.8088
122,9/11/19,19:43,9/12/19,14:00,11,Exp,Native,Centroceras,Centroceras,12.8182,13.0438,NA,0.1053,NA,NA,NA,24,24.5,0.0307,,,
123,9/11/19,19:43,9/12/19,14:00,11,Exp,Native,Silvetia,Silvetia,12.3466,9.587,NA,2.814,NA,NA,NA,24,24.5,0.0307,,,
124,9/11/19,19:43,9/12/19,14:00,11,Exp,Native,Ulva,Ulva,13.48,13.3773,NA,0.5752,NA,NA,NA,24,24.5,0.0307,,,
125,9/11/19,19:43,9/12/19,14:00,11,Exp,Invasive,Sargassum,Wrack,11.9362,11.8785,NA,0.3164,5.2309,0.3164,5.5473,24,24.5,0.0307,16.6803,17.3878,7.5752
126,9/11/19,19:43,9/12/19,14:00,11,Exp,Invasive,Centroceras,Centroceras,13.1109,13.2451,NA,0.1274,NA,NA,NA,24,24.5,0.0307,,,
127,9/11/19,19:43,9/12/19,14:00,11,Exp,Invasive,Silvetia,Silvetia,11.5893,7.3911,NA,4.1802,NA,NA,NA,24,24.5,0.0307,,,
128,9/11/19,19:43,9/12/19,14:00,11,Exp,Invasive,Ulva,Ulva,11.6089,10.9874,NA,0.9233,NA,NA,NA,24,24.5,0.0307,,,
129,9/11/19,19:43,9/12/19,14:00,MC11.12M,Cont,Native,Macro,Wrack,12.5651,12.8428,1.022100899,NA,NA,NA,NA,24,24.5,0.0307,,,
130,9/11/19,19:43,9/12/19,14:00,MC11.12C,Cont,Native,Centroceras,Centroceras,10.6959,10.972,1.02581363,NA,NA,NA,NA,24,24.5,0.0307,,,
131,9/11/19,19:43,9/12/19,14:00,MC11.12S,Cont,Native,Silvetia,Silvetia,11.4993,11.55,1.004408964,NA,NA,NA,NA,24,24.5,0.0307,,,
132,9/11/19,19:43,9/12/19,14:00,MC11.12U,Cont,Native,Ulva,Ulva,9.9988,10.3493,1.035054207,NA,NA,NA,NA,24,24.5,0.0307,,,
133,9/11/19,19:43,9/12/19,14:00,SC11.12SA,Cont,Invasive,Sargassum,Wrack,12.0146,12.275,1.02167363,NA,NA,NA,NA,24,24.5,0.0307,,,
134,9/11/19,19:43,9/12/19,14:00,SC11.12C,Cont,Invasive,Centroceras,Centroceras,12.4734,12.7223,1.019954463,NA,NA,NA,NA,24,24.5,0.0307,,,
135,9/11/19,19:43,9/12/19,14:00,SC11.12S,Cont,Invasive,Silvetia,Silvetia,12.1066,12.0878,0.998447128,NA,NA,NA,NA,24,24.5,0.0307,,,
136,9/11/19,19:43,9/12/19,14:00,SC11.12U,Cont,Invasive,Ulva,Ulva,10.4699,10.7421,1.025998338,NA,NA,NA,NA,24,24.5,0.0307,,,
137,9/11/19,19:43,9/12/19,14:00,12,Exp,Native,Macro,Wrack,10.5892,8.8896,NA,1.9336,1.4163,1.9336,3.3499,24,24.5,0.0307,13.372,15.8767,10.4949
138,9/11/19,19:43,9/12/19,14:00,12,Exp,Native,Centroceras,Centroceras,11.6724,11.8801,NA,0.0936,NA,NA,NA,24,24.5,0.0307,,,
139,9/11/19,19:43,9/12/19,14:00,12,Exp,Native,Silvetia,Silvetia,11.9623,10.9017,NA,1.1133,NA,NA,NA,24,24.5,0.0307,,,
140,9/11/19,19:43,9/12/19,14:00,12,Exp,Native,Ulva,Ulva,10.0578,10.201,NA,0.2094,NA,NA,NA,24,24.5,0.0307,,,
141,9/11/19,19:43,9/12/19,14:00,12,Exp,Invasive,Sargassum,Wrack,11.7934,11.6957,NA,0.3533,3.0583,0.3533,3.4116,24,24.5,0.0307,20.0089,14.464,10.831
142,9/11/19,19:43,9/12/19,14:00,12,Exp,Invasive,Centroceras,Centroceras,12.6813,12.7512,NA,0.1831,NA,NA,NA,24,24.5,0.0307,,,
143,9/11/19,19:43,9/12/19,14:00,12,Exp,Invasive,Silvetia,Silvetia,12.1025,10.44371,NA,1.64,NA,NA,NA,24,24.5,0.0307,,,
144,9/11/19,19:43,9/12/19,14:00,12,Exp,Invasive,Ulva,Ulva,10.0346,9.0603,NA,1.2352,NA,NA,NA,24,24.5,0.0307,,,
145,9/11/19,19:43,9/12/19,14:00,13,Exp,Native,Macro,Wrack,10.304,9.453,NA,1.1469,2.3559,1.1469,3.5028,24,24.5,0.0307,20.9493,16.7619,2.3394
146,9/11/19,19:43,9/12/19,14:00,13,Exp,Native,Centroceras,Centroceras,13.6064,13.5065,NA,0.5414,NA,NA,NA,24,24.5,0.0307,,,
147,9/11/19,19:43,9/12/19,14:00,13,Exp,Native,Silvetia,Silvetia,11.4381,9.7681,NA,1.8428,NA,NA,NA,24,24.5,0.0307,,,
148,9/11/19,19:43,9/12/19,14:00,13,Exp,Native,Ulva,Ulva,8.9817,9.2534,NA,-0.0283,NA,NA,NA,24,24.5,0.0307,,,
149,9/11/19,19:43,9/12/19,14:00,13,Exp,Invasive,Sargassum,Wrack,12.017,11.994,NA,0.3229,4.8085,0.3229,5.1314,24,24.5,0.0307,16.5904,18.0933,2.977
150,9/11/19,19:43,9/12/19,14:00,13,Exp,Invasive,Centroceras,Centroceras,12.881,12.7104,NA,0.4612,NA,NA,NA,24,24.5,0.0307,,,
151,9/11/19,19:43,9/12/19,14:00,13,Exp,Invasive,Silvetia,Silvetia,10.795,7.0808,NA,3.7324,NA,NA,NA,24,24.5,0.0307,,,
152,9/11/19,19:43,9/12/19,14:00,13,Exp,Invasive,Ulva,Ulva,11.8769,11.7877,NA,0.6149,NA,NA,NA,24,24.5,0.0307,,,
153,9/11/19,19:43,9/12/19,14:00,MC13.14M,Cont,Native,Macro,Wrack,12.8195,13.1876,1.028714068,NA,NA,NA,NA,24,24.5,0.0307,,,
